ID,NAME,ABBR,GEOM0LAT,GEOM0LON,GEOM0BBOX,GEOM0AREA,LINEAGE0COUNTRY0ID,LINEAGE0COUNTRY0NAME,LINEAGE0COUNTRY0ABBR,LINEAGE0MACROREGION0ID,LINEAGE0MACROREGION0NAME,LINEAGE0MACROREGION0ABBR,LINEAGE0REGION0ID,LINEAGE0REGION0NAME,LINEAGE0REGION0ABBR,LINEAGE0LOCALADMIN0ID,LINEAGE0LOCALADMIN0NAME,LINEAGE0LOCALADMIN0ABBR,LINEAGE0LOCALITY0ID,LINEAGE0LOCALITY0NAME,LINEAGE0LOCALITY0ABBR,PLACETYPE
0340819228,Puebla de Beleña,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819228,Puebla de Beleña,,,,,localadmin
0340819229,Puebla de Valles,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819229,Puebla de Valles,,,,,localadmin
0340819230,Quer,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819230,Quer,,,,,localadmin
0340819231,Rebollosa de Jadraque,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819231,Rebollosa de Jadraque,,,,,localadmin
0340819232,"Recuenco, El",,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819232,"Recuenco, El",,,,,localadmin
0340819233,Renera,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819233,Renera,,,,,localadmin
0340819234,Retiendas,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819234,Retiendas,,,,,localadmin
0340819235,Riba de Saelices,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819235,Riba de Saelices,,,,,localadmin
0340819237,Rillo de Gallo,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819237,Rillo de Gallo,,,,,localadmin
0340819238,Riofrío del Llano,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819238,Riofrío del Llano,,,,,localadmin
0340819239,Robledillo de Mohernando,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819239,Robledillo de Mohernando,,,,,localadmin
